DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 2.04 204 0.403 -0.297 -0.277 0.009 0.010 0.113 0.979 1.054 6.282
1 2.05 205 0.399 -0.293 -0.273 -0.007 0.008 0.007 -1.590 -0.249 -10.631
1 2.06 206 0.395 -0.289 -0.270 -0.006 0.007 0.006 0.044 -0.132 -0.076
1 2.07 207 0.390 -0.290 -0.255 -0.009 -0.001 0.027 -0.307 -0.730 2.018
1 2.08 208 0.382 -0.311 -0.273 -0.014 -0.037 -0.033 -0.495 -3.594 -5.901
1 2.09 209 0.373 -0.321 -0.299 -0.016 -0.019 -0.045 -0.142 1.797 -1.286
1 2.10 210 0.370 -0.339 -0.331 -0.006 -0.030 -0.056 0.953 -1.119 -1.088
1 2.11 211 0.380 -0.349 -0.334 0.018 -0.018 -0.005 2.351 1.202 5.093
1 2.12 212 0.385 -0.358 -0.327 0.009 -0.016 0.013 -0.891 0.198 1.794
1 2.13 213 0.389 -0.368 -0.321 0.007 -0.017 0.012 -0.122 -0.099 -0.098
1 2.14 214 0.393 -0.378 -0.315 0.007 -0.019 0.010 -0.046 -0.192 -0.178
1 2.15 215 0.395 -0.376 -0.308 0.003 0.004 0.012 -0.427 2.288 0.226
1 2.16 216 0.389 -0.377 -0.299 -0.010 -0.001 0.016 -1.228 -0.523 0.434
1 2.17 217 0.388 -0.383 -0.304 -0.001 -0.010 -0.009 0.833 -0.925 -2.580
1 2.18 218 0.387 -0.384 -0.306 -0.002 -0.002 -0.004 -0.092 0.799 0.545
1 2.19 219 0.384 -0.380 -0.266 -0.005 0.007 0.070 -0.288 0.965 7.370
1 2.20 220 0.385 -0.381 -0.274 0.001 -0.002 -0.013 0.644 -0.889 -8.290
1 2.21 221 0.376 -0.382 -0.299 -0.016 -0.002 -0.044 -1.748 -0.003 -3.122
1 2.22 222 0.378 -0.387 -0.293 0.003 -0.009 0.011 1.948 -0.691 5.509
1 2.23 223 0.374 -0.388 -0.280 -0.006 -0.002 0.022 -0.906 0.640 1.121
